,model,prompt_version,criterial_score,embedding_cosine_distance,score
,,,mean,mean,mean
5,gpt_4o_mini,v3_summary_expert,0.625,0.09400652615506529,8.653409090909092
4,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v3_Q8_0,v3_summary_expert,0.3409090909090909,0.15131399436424323,6.3977272727272725
2,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v2_Q8_0,v3_summary_expert,0.4318181818181818,0.15044315925809504,6.232954545454546
1,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v2_Q4_k_m,v3_summary_expert,0.3352272727272727,0.16873278723067098,5.659090909090909
3,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v3_Q4_k_m,v3_summary_expert,0.3181818181818182,0.16316461783655176,5.630681818181818
10,phi4_latest,v1_summary_expert_one_shot,0.21022727272727273,0.17723155043054795,5.568181818181818
11,phi4_latest,v3_summary_expert,0.2159090909090909,0.18599845539308058,4.988636363636363
6,llama3_1_8b_instruct_fp16,v1_summary_expert_one_shot,0.10227272727272728,0.194388042928746,4.653409090909091
0,finetune_qlora_litgpt_llama_3_2_3b_bnb_nf4_v2_q8_0,v3_summary_expert,0.1590909090909091,0.20832744859055036,3.710227272727273
8,llama3_2_3b_instruct_fp16,v1_summary_expert_one_shot,0.03409090909090909,0.21972707089089075,3.4545454545454546
7,llama3_1_8b_instruct_fp16,v3_summary_expert,0.0625,0.3360601618311724,3.1988636363636362
9,llama3_2_3b_instruct_fp16,v3_summary_expert,0.03409090909090909,0.4156046702799376,2.3238636363636362
