,model,prompt_version,criterial_score,embedding_cosine_distance,score
,,,mean,mean,mean
5,gpt_4o_mini,v3_summary_expert,0.6018099547511312,0.10075455805089277,8.479638009049774
4,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v3_Q8_0,v3_summary_expert,0.29411764705882354,0.15922597673487401,5.97737556561086
2,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v2_Q8_0,v3_summary_expert,0.3665158371040724,0.15926568790605822,5.67420814479638
3,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v3_Q4_k_m,v3_summary_expert,0.26244343891402716,0.17384257729242283,5.1900452488687785
10,phi4_latest,v1_summary_expert_one_shot,0.167420814479638,0.18557837839095453,5.180995475113122
1,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v2_Q4_k_m,v3_summary_expert,0.2850678733031674,0.17942288010823162,5.153846153846154
11,phi4_latest,v3_summary_expert,0.17194570135746606,0.19746922095149438,4.506787330316742
6,llama3_1_8b_instruct_fp16,v1_summary_expert_one_shot,0.08144796380090498,0.20265427188489982,4.32579185520362
0,finetune_qlora_litgpt_llama_3_2_3b_bnb_nf4_v2_q8_0,v3_summary_expert,0.14027149321266968,0.224712026109813,3.330316742081448
8,llama3_2_3b_instruct_fp16,v1_summary_expert_one_shot,0.027149321266968326,0.22584686009862925,3.2081447963800906
7,llama3_1_8b_instruct_fp16,v3_summary_expert,0.049773755656108594,0.383359807955284,2.8733031674208145
9,llama3_2_3b_instruct_fp16,v3_summary_expert,0.027149321266968326,0.42820027422912266,2.0995475113122173
